,singer,song
1194,Colleen Et Les Boîtes À Musique,What Is A Componium? - Part 1
1195,Jurga,Galbut
1196,Gary Wright,Rio Amazonas Part 2 (Lp)
1197,Talib Kweli,Go With Us [featuring Strong Arm Steady] (Album Version)
1198,Nancy Wilson,What A Little Moonlight Can Do
1199,Passion,Sweet Mercies (Passion 98 Album Version)
1200,John Prine,Please Don't Bury Me
1201,Cobna,Cette Fois-Ci...
1202,Allez Allez,Valley Of The Kings
1203,The Tokens,When I Go To Sleep At Night
1204,Ben E. King,I (Who Have Nothing)
1205,Snax,Get in Trouble
1206,Anne Murray,I Don't Think I'm Ready For You (2001 Digital Remaster)
1207,Anthony Johnson,Mother Mother
1208,John Dahlbäck,Shop Lifter
1209,AFI,Paper Airplanes (makeshift wings)
1210,James Taylor,Up On The Roof
1211,Sascha Heyna,Wenn Die Welt zusammenbricht
1212,Cadence Weapon,Fathom
1213,Hank Thompson,When God Calls His Children Home
1214,Alfonzo Blackwell,That's Cool
1215,RIP SLYME,UNDER THE SUN
1216,Landau,Trem Danado
1217,Jay Dee,F**k The Police (Instrumental)
1218,Tom Rush,Drop Down Mama
1219,Jolie Holland,Alley Flowers
1220,The Juan MacLean,Happy House
1221,James Hardway,Sleep Tonight (Klute Remix)
1222,Daniel Balavoine,La Vie Ne M'Apprend Rien
1223,Majors,Troubled Young Man / Soul Child
1224,Natalia Oreiro,Caliente
1225,Willie Clancy,Fling: Easter Snow
1226,Marc Bolan,All At Once (Take 5)
1227,Steevi Jaimz,Something Good Something Bad
1228,Herman Brood & His Wild Romance,True Fine Mama
1229,The Axis Of Perdition,The Elevator Beneath The Valve
1230,Norman And Nancy Blakie,We Parted By The Riverside
1231,Milly Quezada,Vive!
1232,Manchester Orchestra,Don't Let Them See You Cry
1233,Bacio di Tosca,Verborgenheit
1234,Robin Trower,Night
1235,BK & Associates and Tyson Pumphrey,`Blue Room (BK & Associates Album Version)
1236,Leon Rosselson,Story Line
1237,Anneli Drecker,Sexy Love (Bluefish Haifilm Remix)
1238,Harlan T. Bobo,Bad Boyfriends
1239,Neil Diamond,All I Really Need Is You
1240,L7,Andres
1241,Edhels,Still Dream
1242,Samantha Fox,Naughty Girls (Need Love Too)
1243,Yuppie Pricks,Hummer In My Hummer
1244,Integrity,Eighteen 99 (Album Version)
1245,Funkadelic,(Not Just) Knee Deep - Original
1246,Paul Wall,Got Plex (Featuring Archie Lee and Cootabang) (Explicit Screwed and Chopped Album Version)
1247,Dave Gahan,Dirty Sticky Floors (Lexicon Avenue Vocal Remix)
1248,Sneaker Pimps,Post Modern Sleaze
1249,Bad Habit,Girl
1250,Markus Schulz,Dark Heart Waiting
1251,The Irish Rovers,Rovers Fancy
1252,Tom Burbank,Baghdad Mood
1253,Roger Chapman & The Shortlist,Right To Go
1254,NOFX,White Bread
1255,Whale,Run
1256,White Rabbits,Company I Keep
1257,JT The Bigga Figga,I'm About That
1258,Sivert Høyem & The Volunteers,Love_ Leave Me Alone
1259,John Zorn,Chronology (LP Version)
1260,Enrique Bunbury,Es Solo Un Día Más
1261,As Cities Burn,One:Twentyseven
1262,Shooter Jennings,She Lives In Color
1263,Gong,Wave & A Particle
1264,Sick,Accords
1265,Detroit Grand Pubahs,Thanks for Coming
1266,Buck 65,Lil' Taste of Poland
1267,Big & Rich,Love Train (Album Version)
1268,Color Me Badd,Trust Me (Album Version)
1269,Ismael Miranda,Borinquen Tiene Montuno
1270,The Brother Kite,Lay Down Your Burden
1271,Cabbageboy,Ken's Seedy Break
1272,Kvazar,Black Hole
1273,Comedian Harmonists,Ein Freund_ ein guter Freund
1274,Ying Yang Twins,1st Booty On Duty
1275,Frenéticas,Tudo Bem_ Tudo Bom???? Ou Mesmo Até....
1276,Stefan Grossman and Tokio Uchida,My Creole Belle
1277,Prince Far I & The Arabs,Good Music Brother
1278,Metro Stars,Rimbalza
1279,Antti Tuisku,Mitä pakenet
1280,Beatsteaks,Not Ready To Rock [Live - Zelle/Reutlingen]
1281,J. Blackfoot,Mr. Bus Driver
1282,Viola,This Year It Will Be Different
1283,The Earlies,Burn The Liars
1284,Bettye Swann,A Change Is Gonna Come
1285,Mark Hollis,The Gift
1286,Nellie McKay,Waiter
1287,Tania Maria,It's Only Love
1288,I Am Kloot,Strange Arrangement Of Colour
1289,Gus Gus,Very Important People (Masters At Work Main Mix) (aka Masters At Work Vocal)
1290,Papa San,Hippitti Hippitti Hop
1291,Spokane,Grown
1292,Mike Stern,Signs (LP Version)
1293,Limahl,Only For Love (Dance Mix)
1294,Hypo,What about fish
1295,Blossom Dearie,Lucky To Be Me
1296,Antiseen,Haunted House
1297,Lemongrass feat. Karen Gibson Roc,Reflection
1298,Liquid Sound Company,League For Spiritual Discovery Lives
1299,Ethel Merman,I get a kick out of you
1300,Atomic Kitten,Believer
1301,Easy Star All-Stars,Fixing a Hole (feat. Max Romeo)
1302,John Mayer,Belief
1303,Peter Sommer,Til Rotterne_ Til Kragerne_ Til Hundene_skitse
1304,glisten,The Last Blueshift
1305,Lil Boosie & Webbie,Baby Momma (Chopped & Screwed Version)
1306,Orlin Goranov,Kogato Niakoi Niakogo Obicha
1307,Royal Crescent Mob,Mississippi
1308,Love Shop,Pia Larsen
1309,Bill Laswell,Slow Murder
1310,Elin Ruth Sigvardsson,Your Love Is Loaded
1311,Johannes Linstead,Los Moros
1312,Jesse Belvin,One Little Blessing
1313,Girls Aloud,Racy Lacey
1314,Letta Mbulu,Welele
1315,The Irish Tenors,Amazing Grace
1316,Bonnie Tyler,Love Tangle
1317,Dan Winter,Don't Stop Push It Now
1318,AnnaGrace,Love Keeps Calling
1319,Wilshire,I Know What You Did
1320,Kris Kristofferson,Border Lord
1321,Darren Styles,Save Me
1322,UGK (Underground Kingz),Texas Ave. Interlude
1323,Marc Acardipane feat. Dick Rules,Alive (Video Edit)
1324,Rick Springfield,Welcome To The Rodeo
1325,Ry Cooder,Available Space
1326,Hank Thompson,Beer Barrel Polka (Roll Out The Barrel)
1327,Tata Young,El Nin-Yo!
1328,Carlos Ponce,Canela
1329,Jim Greer,Two Foxes
1330,59 Times the Pain,When It All Comes Down
1331,Billy Childish and Sexton Ming,Here Come The Fleece Geese Reprise
1332,Preston Epps,Bongos in Pastel
1333,Helen Love,Superboy_ Supergirl
1334,Zen Lemonade,Die Ashanti
1335,Marc Reece,Can't Handle It
1336,Vonda Shepard,I Shy Away  (LP Version)
1337,The Hollies,Can't Lie No More
1338,Joboj,Hooloovoo
1339,The Villas,Pull You Back
1340,Di-rect,Adrenaline (Live & Acoustic 2008)
1341,Chris Christian,Truly Yours
1342,Ut,Hotel
1343,Talking Heads,Once In A Lifetime (Remastered LP Version )
1344,Andy Prinz,Do You Care
1345,Obituary,Kill For Me (Reissue) (Album Version)
1346,Florian Meindl,Egyptian Storm
1347,Zachary Richard,See You Later Alligator
1348,Dimmu Borgir,The Chosen Legacy
1349,Soraya,A Tu Lado
1350,Hurricane,Lock Me Up
1351,Broadcast,Illumination
1352,Javier Ruibal,Érase allí tan cerca
1353,Sivuca & Quinteto da Paraíba,Amoroso Coração
1354,The Rutles,Love Life
1355,Charlie Daniels,Rainbow Ride
1356,Stephen Stills,Suite: Judy Blue Eyes (Demo)
1357,The Inbreds,Last Flight
1358,Inner City Unit,Disco Tango
1359,Beenie Man featuring Voltio & Randy,Fire (Edited) (Feat. Voltio & Randy)
1360,Fastbacks,Impatience (Album)
1361,1200 Mics,Magic Mushrooms
1362,Pallas,March on Atlantis
1363,Paul Hardcastle,Walk In The Night
1364,Bluebeats,Sorry She's Mine
1365,Grinderswitch,Dixie Flyer
1366,Traks,5A
1367,The Bumblebeez,Santa Claus Is Comin'  To Town
1368,Robin Trower,Man Of The World (2008 Digital Remaster)
1369,The Royal Family And The Poor,Creatura
1370,Angy,Baby One More Time
1371,Climax Golden Twins,Disappointed Expectations
1372,Flo & Eddie,Who But I
1373,Mr. Sancho,West Coast Fire
1374,Peter Bruntnell,Reel Around The Fountain
1375,Dev/Null,Track 7
1376,Hard Rock Sofa,Pleasant Emotions
1377,Toni Braxton,You've Been Wrong
1378,Carnifex,Superstition
1379,Flatt & Scruggs,Roll In My Sweet Baby's Arms
1380,Defeated Sanity,Apocalypse Of Filth / Collapsing Human Failures
1381,Morrissey,There Is A Light That Never Goes Out
1382,Natalino Otto,Mamma Voglio Anch'io La Fidanzata
1383,Frenzal Rhomb,Hakimashita
1384,The Wedding,Staring At The Light (New Version)
1385,André Rieu_ Johann Strauss Orchester,Morgenblätter op. 279 (Walzer)
1386,Cinnamon Chasers,You
1387,Jimmy Rogers,One Kiss
1388,Maria Callas/Giuseppe di Stefano/Orchestra del Teatro alla Scala_ Milano/Antonino Votto,Un ballo in maschera (1988 Digital Remaster): Non sai tu che se I'anima mia
1389,Ronnie Foster,Fly Away
1390,New Order,Round & Round
1391,Yaniss Odua,À toi de voir
1392,Iris Dement,Sweet Is the Melody
1393,Enrico Rava_ Stefano Bollani,Jazz At The Club Club
1394,Leszek Mozdzer,Prelude in G major Op.28 n°3
1395,August Burns Red,The Truth Of A Liar
1396,Miranda Sex Garden,While Joyful Springtime Lasteth
1397,Colin Gilmore,Black Vines
1398,Chaka Demus & Pliers,Murder She Wrote (Chinese Mix)
1399,A Static Lullaby,Lip Gloss and Letdown
1400,Smokie,Hungry Eyes
1401,PAULA COLE,It's My Life
1402,North Mississippi Allstars,Hurry Up Sunrise
1403,Big Electric Cat,Red Roses (Black Vine Mix)
1404,Xose Manuel Budiño,Danza Dos Arxinas
1405,Semisonic,No One Else
1406,Cockney Rebel,Sebastian (Live At Hammersmith Odeon)
1407,Rezound,Just One World
1408,Vince Guaraldi Trio,Christmas Is Coming
1409,Audio Soul Project Feat. Lori,Satellite
1410,Bandit,Muead
1411,Atom,Plus 1
1412,Ian Gillan,Not Responsible
1413,Paolo Nutini,Jenny Don't Be Hasty [Live & Acoustic Version]
1414,Rhianna,I Love Every Little Thing About You
1415,Dragonland,Ride For Glory
1416,The Blues Band,Diddy Wah Diddy
1417,Al Martino,Here And Now
1418,Jaime Roos,Te Quería Decir
1419,Dangerous Toys,Line 'Em Up
1420,Brixx,Timeless
1421,Global Goon,Friendship Never Dies
1422,Allan Sherman,In Which I Finally Admit That I Won World War II Single-Handed (Album Version)
1423,Otis Grand,Insomnia
1424,Die Mooskirchner,Lass uns träumen
1425,Hooligans,Egyetlen
1426,Roy Brown,Travelin' Blues
1427,The Spencer Davis Group,Somebody Help Me
1428,Bobby McFerrin;The Saint Paul Chamber Orchestra,Eine kleine Nachtmusik_ K.525/II. Romance. Andante
1429,Charles Wright & The Watts 103rd. Street Rhythm Band,Living On Borrowed Time (Remastered Mono Single Version)
1430,Rev Run,My Funny Valentine (Praise My Dj's)
1431,Steve Bug & DJ T,Monsterbaze
1432,Dmitry Bessonov,Above In The Sky
1433,Britny Fox,Long Way To Love
1434,Speech,Braided Hair
1435,Chirie Vegas,Stardust ( Acapella )
1436,Jose Zaragoza,It's Your Time
1437,Monoceros,Escape From Gravity
1438,Joe Hill Louis,We All Gotta Go Sometime
1439,Another Damn Disappointment,Hooked
1440,Ola Magnell,Nya Perspektiv
1441,Paul Wall,Know What I Am Talking Bout
1442,Fort Minor,In Stereo (Album Version)
1443,Curtis Salgado,Portable Man
1444,Paul Gilbert,One Armed Bandits
1445,Dr Bombay,Outro
1446,Ben Weasel,Strangers
1447,Samim & Michal,Du stinksch nach Gaggi
1448,Matthew Thomas,When Forever Changed to Never
1449,Broadcast,Minus 3
1450,Parrita,Cómo Me Duele
1451,Dustball,Rude Me Out
1452,Malkit Singh,Ek Ghera Hor
1453,James Taylor,Chili Dog (LP Version)
1454,Singing Melody,Little Time
1455,Erik Satie,Priere pour le salut de mon ame
1456,Wrangler Brutes,Mgmt Sheen
1457,Strangeways,Danger In Your Eyes
1458,Norma Waterson,Green Grows The Laurel
1459,Tony Allen Feat. Ty & Damon Albarn,Every season
1460,Mindflayer,Destructed But-Bits Rush (Let's Grow)
1461,Papercuts,Just Another Thing To Dust
1462,Dierks Bentley,Train Travelin'
1463,Recoil,Black Box (Excerpt)
1464,The Doors,When The Music's Over [Live At The Aquarius - The First Performance] (LP Version)
1465,Charles Schillings,One On One
1466,Joey V,Root Taster
1467,Uniklubi,Näiden tähtien alla
1468,Roomsa,Reason Why
1469,Blackjoy,Moustache (La Stache)
1470,Aaron Sprinkle,Running In My Head
1471,The Magic Time Travelers,Everyday
1472,Tunsi,Hood
1473,Christine Fellows,Paper Anniversary
1474,Steve Miller Band,Living In The U.S.A. (1991 Digital Remaster)
1475,Dori Caymmi,Northeast (Album Version)
1476,e.s.t. Esbjörn Svensson Trio,Dolores In A Shoestand (Live in Hamburg)
1477,Plastique de Reve,Comme La Vogue
1478,Parkway Drive,The Cruise
1479,Building 429,Rise - LP Version
1480,Sonny Criss,Black Coffee
1481,Turquoise,Multiplex
1482,Headphone,Ghostwriter
1483,Les Paul & Mary Ford,Mammy's Boogie
1484,Steeleye Span,Gaudete
1485,El Piporro,Lloraras
1486,Cale Parks,Early On
1487,Finger & Kadel,Mana Mana
1488,Kevie Kev (Waterbed Kev),All Night Long [Waterbed]
1489,LaFee,Mitternacht (Live @ Echo)
1490,English Chamber Orchestra - Enrique García Asensio,La boda de Luis Alonso. Boleras
1491,Helloween,A Little Time
1492,Link Wray,Rumble (Live '96)
1493,Gloria Lynne,This Little Boy of Mine
1494,Soweto String Quartet;Vusi Mahalasela,Weeping
1495,Irie Révoltés,Zeit ist Geld
1496,Malina,Telo
1497,Obrint Pas,Tornar A Casa
1498,Hélène Segara,Quel Est Ton Nom
1499,Tankcsapda,A Holnapot Éljem Túl
1500,Surgery,Lupi da cortile
1501,Across the Border,Beautiful world
1502,Tommy McClennan,Bluebird Blues
1503,Sentidos Opuestos,Fuego En La Piel
1504,Caliban,My Fiction Beauty (Album Version)
1505,Enrico Rava_ Phil Woods_ Lee Konitz,Medley
1506,Within Temptation,Mother Earth (Album Version)
1507,Lionel Rogg,Die Kunst der Fuge_ BWV 1080 (2007 Digital Remaster): Contrapunctus II
1508,Kaizers Orchestra,Drøm Hardt (Requiem Part I)
1509,Desert Dwellers,Back To The Dreamtime
1510,Project 86,Salem's Suburb (Album Version)
1511,Daniel Johnston,Good Morning You
1512,It Dies Today,This Ghost
1513,Vishwa Mohan Bhatt,Lori based in Raga Tilak Kamod in Deepchandi
1514,Weatherbox,Untitled
1515,King Sunny Ade,My Mother
1516,Al Green,Never Met Nobody Like You
1517,Lloyd Price,Why
1518,KRIS KRISTOFFERSON & RITA COOLIDGE,What'cha Gonna Do
1519,Golden Boys,Que Fazer Se Eu Lhe Quero Tanto (Can I Gen To Know Better)
1520,Annie,Greatest Hit
1521,Krust,Going Nowhere
1522,The Lost Patrol,Thoughts On Fire
1523,The Chymes,He's Not There Anymore
1524,Julianna Barwick,Choose
1525,Calm Chaos,To Be
1526,Her Bright Skies,Kiss Like This
1527,Snooks Eaglin,Funky Malaguena
1528,Overkill,Elimination (Live)
1529,Alex M. vs. Marc van Damme feat. Jorg Schmid,Died In Your Arms
1530,Articles Of Faith,Wait For Me
1531,Dear Leader,Indifference In The Age Of Decline
1532,Joan As Police Woman,Furious
1533,Minnie Riperton,Stay In Love
1534,Jelly Roll Morton's New Orleans Jazzmen,Don't You Leave Me Here
1535,Anders Ilar,Korp
1536,Trevor Rabin,Briefing Room
1537,Sting / Mary J. Blige,Whenever I Say Your Name
1538,Paul Whiteman Orchestra,Rhapsody in Blue
1539,The Soundtrack Of Our Lives (TSOOL),Believe I've Found
1540,Kid Down,Complicated (Demo Version)
1541,Ezgirl,Vibe Version (The Hotel Word)
1542,Analogue Mindfield,Guernica Dub (Subsonar Remix)
1543,Evelyn Thomas,Doomsday
1544,Snoop Dogg,Bang Out
1545,Grassella Oliphant Quartet,Shiny Stockings
1546,The Penelopes,The Hourglass's Scream
1547,Count Zero,Shake (RockBand mix)
1548,Earth Nation,Isolation
1549,Glen Campbell,Ain't It Just Like Love
1550,Fred Adison,Quand un gendarme rit
1551,Captain Barkey,Go-Go Wine
1552,Elliot Minor,Last Call To New York City
1553,Foals,Two Steps_ Twice
1554,Booty Callers,I Owe You Nothing
1555,Kim Weston,Emotion - Live
1556,Rev. James Cleveland and the Northern & Southern California Choirs of the G.M.W.A.,Spirit Of The Lord
1557,Art Brut,Weird Science
1558,Oomph!,Das letzte Streichholz
1559,Bruno Sanfilippo,InTROvisions
1560,Telephone Jim Jesus,Dice Raw
1561,U2,Mysterious Ways
1562,Park-Like Setting,Physics
1563,Wilmoth Houdini,No Mo' Bench And Board
1564,The Beta Band,It's Over
1565,Kassav',Zafè Mélé
1566,Ella Fitzgerald,Into Each Life Some Rain Must Fall
1567,The Tannahill Weavers,The Coach House Reel/Marie Christine/The Coach House Reel
1568,David Zinman,Symphony No. 5 in C minor_ Op. 67/Andante con moto
1569,Blasphemy,War Command
1570,Acid Bath,Dope Fiend
1571,Jesus Jones,Real_ Real_ Real (BBC In Concert)
1572,Duo Dinamico,Rogar (My Prayer)
1573,Big Jay McNeely,All That Wine Is Gone
1574,Johnny Desmond,Don't
1575,Tracy Byrd,Somewhere I Wanna Go
1576,Kenny Rogers,White Christmas (2000 Digital Remaster)
1577,Monica Lewis,I'm In The Mood For Love
1578,Peabo Bryson,Feel The Fire (LP Version)
1579,Teresa Cristina,Gema
1580,The Hollies,Stop Stop Stop (Live) (2003 Digital Remaster)
1581,Gareth Gates,Lovesong
1582,The Highwaymen,Closer To The Bone
1583,Harry Choates,Hackberry Hop
1584,Country Joe McDonald,Ring of Fire
1585,Rachael Sage,Lonely Streets
1586,SFDK,INTRO
1587,Portishead,Chase The Tear
1588,Sidney Bechet,Frankie And Johnny
1589,Hopalong Knut,Ny-Farriseera
1590,Doro,The Fortuneteller
1591,Stray,Wait Another Day
1592,Bløf,Heimwee
1593,Jay Chou,Huo Yuan Jia
1594,Luke Slater,Black Cloud (Epilogue)
1595,D-Flame,We Ha Fi Reach
1596,Tony Senghore,Peace
1597,Eli,Never Knew You Looked Like That (Now The News Album Version)
1598,Sara,Para Qué (Versión Dance)
1599,love like blood,The Everlasting Dream
1600,Beto Bertolini,CR-27  Tortuguero
1601,Celtus,Touch You
1602,David Hudson,Conversation - Part Two
1603,Pierangelo Bertoli,Rosso colore
1604,Showaddywaddy,Heartbeat
1605,Stars In Coma,Transformation
1606,Jetplane Landing,Everywhere That Is In Need Of Repair (Acoustic /  Demo Recordings / Collected Works at Straight to T
1607,2Face Idibia,Right Here
1608,The Brian Jonestown Massacre,It Girl
1609,The Stone Roses,Simone
1610,Diana Vickers,N.U.M.B
1611,Opa Cupa,Neelie
1612,Boyzone,I'm Learning
1613,Lasse Stefanz,Darlin'
1614,Jody McBrayer,This Is Who I Am  (This Is Who I Am Album Version)
1615,Grant Green,In The Middle
1616,The Spades,Friday Night
1617,Skin,She's On
1618,Mathew Jonson,Walking on the Hands that Follow Me
1619,Smokie Norful,Healing In His Tears
1620,Valentine's Day,Ti Amo
1621,Carpathian Forest,Skjend Hans Lik
1622,Sara Martin,Some Of These Mornings
1623,Blackstreet,Fly
1624,Rabicho,Herança
1625,Phantom/Ghost,THE LOOP
1626,Tex Ritter,High Noon
1627,Maria Callas,Atto II: Gloria all'Egitto
1628,José Cid,E Por Vezes
1629,Lil' Suzy,Now & Forever
1630,Los Rurales De Gilberto Parra,Barrio Alegre
1631,Blind Blake,Southbound Rag
1632,Extol,In Reversal
1633,Nikos Xilouris,O Digenis (Digenis)
1634,Coleman Hawkins,April In Paris
1635,Wau Y Los Arrrghs!!,Ce Ne Pas La Imporance
1636,Dave Mason,Let It Go_ Let It Flow
1637,Shooter Jennings,A Matter Of Time
1638,Pyranja,Vom Ossi zum Star
1639,Robben Ford,The Champ
1640,EDU K feat. MARINA,(Edu K) Me Bota Pra Dançar
1641,Faramarz Aslani,Seven Cities of Love (Haft Shahre Eshgh)
1642,Cabaret Voltaire,Nag_ Nag_ Nag
1643,Der Blutharsch,Untitled
1644,Lori McKenna,Swallows Me Whole
1645,Eric Champion,Natural
1646,Cookies,Ping Fan Ming Xing
1647,Frankie Sparo,If You're Fancy Free
1648,Martin Denny,Jungle Madness (1999 Digital Remaster)
1649,Hellsongs,Breaking the law
1650,Ozzy Osbourne,Slow Down
1651,Brian Eno And David Byrne,Moonlight In Glory (2006 Digital Remaster)
1652,Elio E Le Storie Tese,Shpalman
1653,Art Brut,St. Pauli
1654,SkinnyMan,Intro
1655,Orlando,A Life's Aside [Previously Unreleased]
1656,Blind Joe Taggart,The Half Ain't Never Been Told
1657,Waajeed,W-a-a-j-e-e-d - Waajeed
1658,Screaming Trees,All I Know
1659,A.C.T,Abandoned World
1660,Chris Isaak,Cool Love (Album Version)
1661,Joel Grey,Tomorrow Belongs To Me
1662,Tonite Only,Danger (The Bomb) (12 Mix)
1663,K-Mob,Move
1664,Rocio Durcal,La Gata Bajo La Lluvia
1665,CC Cowboys,I vår hemmelige verden
1666,Sonny Rollins,Why Was I Born?
1667,The Wailin' Jennys,Swallow
1668,True Lies,Drehmoment
1669,B.E.N. vs. Mr. Pit,Meteorical
1670,The Rongetz Foundation,Sunny afternoon
1671,Everything But The Girl,Take Me
1672,Lunar Heights,Interlude (produced by Headnodic)
1673,Jacynthe,Give It Up
1674,Luna,Bonnie & Clyde
1675,Sister Wynona Carr,Did He Die In Vain?
1676,Chetes,Sobreviví (Demo Version)
1677,AZ / Trevis Carroll / Animal,Hustler
1678,Queensryche,spOOL (2002 Digital Remaster)
1679,Fragments Of Unbecoming,Dear Floating Water
1680,Maj Karma,Pää
1681,Anna Eriksson,Turn Out The Lights
1682,Dirty Three,Dirty Equation
1683,Gaither Vocal Band,He Will Carry You (A Cappella Version)
1684,Mr. Big,Paul's Solo [Live at Koseinenkin Hall_ Tokyo_ October 29_ 1993]
1685,Thunderclap Newman Featuring Mick O' Toole,Kind Of Blue
1686,Go-Go's,Fading Fast
1687,Billy Joe Shaver,If I Give My Soul
1688,The Mystic Moods Orchestra,Wednesday's Child
1689,Jonas Brothers,Year 3000
1690,Dieter Nuhr,Antiautoritäre Erziehung und Rentner
1691,Liquid People,Monster (Cricco Castelli Remix)
1692,Melpo Mene,Under The Moon
1693,Bobby,Ingrid_ Wait For Me
1694,Johnny Pearson,Lets Go Amigos
1695,Hell Razah,Yours Truly
1696,Charlie Rich,Only Me
1697,Leonard Cohen,Tonight Will Be Fine
1698,Sarai,It?s Not A Fairytale
1699,Stephanie Smith,Waiting On You (Album Version)
1700,Violent Femmes,No Killing
1701,Admiral Tibett,Since You've Been Gone
1702,Max Brannslokker,Voacanga
1703,Ashley Tisdale,Not Like That (Album Version)
1704,Che Grand,City On Fire
1705,Bass Mekanik,45 Hz Test Tone
1706,Capone-N-Noreaga,Intro
1707,Mary Chapin Carpenter,Bells Are Ringing
1708,The Sammies,Caretaker
1709,Abida Parveen,Asan Ishaq Namaz
1710,The Electric Soft Parade,This Given Line
1711,Lara & Reyes,Winter Wonderland
1712,Penance,Crosses
1713,On Thorns I Lay,Ethereal Blue
1714,David Lanz,A Path With Heart
1715,Big Noyd,Know What I'm Sayin'
1716,Hex,Kin
1717,Alpha 5.20,Dakar veut du biff
1718,Blake Lewis,Freak
1719,Active Sight,Times Goes By
1720,Presto Ballet,One Tragedy At A Time (Album)
1721,Steve Goodman,Would You Like To Learn To Dance?
1722,Emma Shapplin,la notte etterna: Remix
1723,Greatdayforup,Deme Su Coolo
1724,Transbeauce,Pearl black eyes
1725,Labveligais Tips,Milumin' Nac Padzert Udentin'
1726,Maysa,Willow Weep For Me
1727,Sawt El Atlas,Rabra Bina
1728,Swims,When Heavy Hangs The Head
1729,The Jacksons,Jump For Joy
1730,Marysia Sadowska,Crazy girl
1731,Dr. Hook,Angela's Eyes
1732,Babylon Circus,Interlude Barbare
1733,Marquis De Sade,Back to Cruelty
1734,Jeffrey Lewis,Seattle
1735,Sebo K,Horizons
1736,MC Mabon,Parti Té
1737,Gorgeous X feat. Julia Falke,Wonderful Life
1738,Band Of Susans,Where Have All The Flowers Gone
1739,multiplex,i can't explain
1740,Skip James,Drunken Spree
1741,Thin Lizzy,Chinatown (Album Version)
1742,Esco,La Dea E Il Samurai
1743,Secos And Molhados,O Doce E O Amargo
1744,Lowkey,Who Really Cares
1745,Stephen Sondheim,The Frogs:  Parodos: The Frogs
1746,Azukx,124 Stomp
1747,Factums,Soundhole
1748,Estatuas De Sol,Paisaje Lunar
1749,Nicola Giunta,Stoned Mariachi's Shower
1750,Kansas,Carry On Wayward Son
1751,Pay TV,Trendy Discotheque (C64 Remix)
1752,Erick Sermon,Lil Crazy
1753,Sarah Chen,KOU QIN DE GU SHI
1754,Jeffrey Scot Wills,Jingle Bells
1755,Errors,Antipode
1756,At All Cost,A Formula
1757,The Focus Group,Icicle wheel
1758,Rip Rig & Panic,Rip Open_ But Oh So Long Thy Wounds Take To Heal
1759,George Thorogood And The Destroyers,Who Do You Love? (Tom Rothrock Remix 2004)
1760,The Pale Fountains,You'll Start A War
1761,Bear In Heaven,Fake Out
1762,Paul Desmond,I Should Care
1763,Marc Lavoine,Je N'ai Plus Rien A Te Donner
1764,Bernard Herrmann,Walking Distance - The Merry-Go-Round
1765,The Heart Throbs,Stunned
1766,Annotations of an Autopsy,Prosthetic Erection
1767,Rupaul,Shirley Q. Intro
1768,Miles Davis Quintet,Love Me or Leave Me
1769,Goose Creek Symphony,Snow Storm
1770,Glashaus,Too Much Heaven
1771,Vikingarna,Vår egen melodi
1772,Red Elvises,Guitarist
1773,Enslaved,Norvegr
1774,Gorky's Zygotic Mynci,Not Yet
1775,Slowpho,Water
1776,Substantial,Chain Reaction
1777,Galaxie 500,Decomposing Trees
1778,Voice Mail,Love
1779,Los Fabulosos Cadillacs,Twist Y Gritos (Twist & Shout)
1780,Sarah Brightman featuring Fernando Lima,Ave Maria
1781,Benassi Bros. Feat. Violeta,I Love My Sex
1782,The Moffatts,Misery
1783,Barbara Thalheim,Immer noch immer
1784,Jeff Wahl,Kicked in the head by a horse
1785,Gigi D'agostino,Gin Lemon (R.A.F. Zone Mix)
1786,Hindu Love Gods,Battleship Chains
1787,Paul Johnson,Play Those Horns 2
1788,James McMurtry And The Heartless Bastards,Lights Of Cheyenne
1789,Tigers That Talked,Duet
1790,PackFM,WNYU Cypher (feat. Poison Pen_ Immortal Technique_ & Rhymefest)
1791,The Joe,Oxymoron Remix
1792,Jackson Browne,It Is One  (LP Version)
1793,Cobra Starship,Guilty Pleasure (Radio Edit)
1794,Raulin Rodriguez,Amor De Mi Vida
1795,Keith Mansfield,Main Line Special
1796,Louis Hayes,Stardust (Original)
1797,Susan Ashton,Here In My Heart (Angels Of Mercy Album Version)
1798,Valeriya,The Party's Over
1799,The Carter Family,Wildwood Flower
1800,State Of Being,Landslide
1801,Chus and Ceballos,Wrong About Me
1802,Pitch Black,Flex
1803,Mike Smith,Malawi
1804,Rattlesnake Remedy,Hangover Blues (Live - Bonus Track)
1805,Black Box Recorder,The School Song
1806,L'Assemblée,Mediatik
1807,Richard Galliano,La valse à Margaux
1808,Sandals,We Wanna Live
1809,Lionel Belasco,Bajan Girl
1810,Narada Michael Walden,Carry On
1811,Talkdemonic,Verite
1812,Syd Matters,Connie (Bonus Track)
1813,Bob Baldwin,Sho Nuff
1814,Gorod,Here Die Your Gods
1815,The Cave Singers,New Monuments
1816,Maxi Priest,Peace Throughout The World
1817,Charly García,Parte De La Religion
1818,Cachao,Descarga Mexicana
1819,Dr. Ring-Ding & The Senior Allstars,Knocking On My Door
1820,Donnie Munro,Always The Winner
1821,The Mormon Tabernacle Choir,Sweet Evelina
1822,West End Orchestra & Singers,Finale - Sound-a-like Cover
1823,Extreme Noise Terror,Punishment Solitude
